method,mae,rmse,rmsse
moving_avg_28,1.7005357142857143,2.1579147879854212,0.843732027230582
seasonal_naive,1.8963095238095238,2.5684247213849924,1.0637180388560508
naive,2.469404761904762,2.9848858248291643,1.157211237253703
